DateTime,Open,High,Low,Close,EMA21,EMA75,EMA150,StochD
03/14/2023 00:00:00,14382.75,14395.50,14375.00,14381.25,14365.51,14421.45,14504.78,68.94
03/14/2023 01:00:00,14381.50,14393.00,14347.50,14361.00,14365.10,14419.86,14502.88,70.08
03/14/2023 02:00:00,14361.00,14373.00,14323.25,14367.00,14365.27,14418.47,14501.08,70.85
03/14/2023 03:00:00,14367.50,14392.25,14335.50,14350.75,14363.95,14416.69,14499.08,71.14
03/14/2023 04:00:00,14351.75,14395.75,14345.00,14391.00,14366.41,14416.01,14497.65,71.78
03/14/2023 05:00:00,14390.25,14392.50,14350.50,14360.00,14365.83,14414.54,14495.83,71.81
03/14/2023 06:00:00,14359.50,14379.00,14340.00,14372.50,14366.43,14413.43,14494.20,71.83
03/14/2023 07:00:00,14371.25,14421.75,14366.75,14398.00,14369.30,14413.02,14492.92,71.77
03/14/2023 08:00:00,14398.75,14471.25,14293.25,14452.75,14376.89,14414.07,14492.39,73.12
03/14/2023 09:00:00,14453.00,14558.75,14444.50,14529.00,14390.72,14417.09,14492.88,75.64
03/14/2023 10:00:00,14529.25,14595.50,14514.75,14559.00,14406.02,14420.83,14493.75,78.96
03/14/2023 11:00:00,14559.50,14624.75,14559.00,14602.25,14423.86,14425.60,14495.19,81.90
03/14/2023 12:00:00,14602.50,14615.50,14571.50,14587.75,14438.76,14429.87,14496.41,84.62
03/14/2023 13:00:00,14587.50,14597.00,14495.75,14512.50,14445.46,14432.04,14496.63,85.96
03/14/2023 14:00:00,14513.00,14540.00,14461.00,14503.50,14450.74,14433.92,14496.72,85.79
03/14/2023 15:00:00,14504.00,14613.75,14437.00,14594.50,14463.81,14438.15,14498.01,84.64
03/14/2023 16:00:00,14595.00,14605.75,14578.50,14604.25,14476.57,14442.52,14499.42,83.82
03/14/2023 18:00:00,14596.75,14605.75,14581.50,14584.00,14486.34,14446.24,14500.54,83.64
03/14/2023 19:00:00,14584.25,14604.25,14584.25,14594.25,14496.15,14450.14,14501.78,83.42
03/14/2023 20:00:00,14594.00,14598.25,14579.50,14591.25,14504.79,14453.85,14502.97,83.25
03/14/2023 21:00:00,14591.50,14612.00,14589.00,14605.00,14513.90,14457.83,14504.32,84.51
03/14/2023 22:00:00,14605.00,14642.75,14602.50,14634.50,14524.87,14462.48,14506.04,87.52
03/14/2023 23:00:00,14635.25,14637.75,14611.25,14617.25,14533.27,14466.55,14507.52,90.57
03/15/2023 00:00:00,14617.25,14620.50,14600.25,14614.75,14540.67,14470.45,14508.94,92.20
03/15/2023 01:00:00,14614.50,14615.75,14589.25,14599.50,14546.02,14473.85,14510.14,92.19
03/15/2023 02:00:00,14599.25,14636.25,14598.25,14625.00,14553.20,14477.83,14511.66,92.30
03/15/2023 03:00:00,14625.25,14634.00,14594.75,14609.50,14558.32,14481.29,14512.95,92.52
03/15/2023 04:00:00,14609.75,14635.50,14595.00,14597.50,14561.88,14484.35,14514.07,92.41
03/15/2023 05:00:00,14598.00,14600.75,14510.75,14518.25,14557.91,14485.24,14514.13,90.52
03/15/2023 06:00:00,14518.25,14532.00,14361.50,14403.50,14543.88,14483.09,14512.66,85.69
03/15/2023 07:00:00,14403.50,14453.75,14401.50,14426.75,14533.23,14481.61,14511.52,78.64
03/15/2023 08:00:00,14427.25,14487.25,14373.50,14420.50,14522.98,14480.00,14510.32,70.72
03/15/2023 09:00:00,14420.25,14542.75,14396.25,14477.75,14518.87,14479.94,14509.89,63.17
03/15/2023 10:00:00,14477.25,14537.00,14419.75,14499.25,14517.09,14480.45,14509.75,56.20
03/15/2023 11:00:00,14500.00,14580.25,14479.50,14528.75,14518.15,14481.72,14510.00,50.36
03/15/2023 12:00:00,14528.00,14543.75,14450.25,14467.00,14513.50,14481.33,14509.43,45.79
03/15/2023 13:00:00,14468.00,14574.25,14455.75,14556.00,14517.36,14483.30,14510.05,44.99
03/15/2023 14:00:00,14556.25,14657.75,14521.75,14644.00,14528.87,14487.53,14511.82,48.22
03/15/2023 15:00:00,14644.75,14675.25,14568.25,14660.00,14540.79,14492.07,14513.78,55.53
03/15/2023 16:00:00,14660.00,14673.25,14651.25,14665.25,14552.11,14496.62,14515.79,63.69
03/15/2023 18:00:00,14666.00,14693.00,14651.25,14686.50,14564.33,14501.62,14518.05,71.47
03/15/2023 19:00:00,14687.75,14697.75,14661.00,14672.25,14574.14,14506.11,14520.09,78.02
03/15/2023 20:00:00,14671.75,14725.25,14667.75,14720.25,14587.42,14511.74,14522.74,84.83
03/15/2023 21:00:00,14719.50,14734.00,14693.25,14701.50,14597.79,14516.74,14525.11,90.36
